,country,nCFR,cCFR,total_deaths,cum_known_t,total_cases,nCFR_UQ,nCFR_LQ,cCFR_UQ,cCFR_LQ,underreporting_estimate,lower,upper,quantile25,quantile75
72,Pakistan,0.021968424588511924,0.0516179952644041,327,6335.0,14885,0.01961365,0.0243232,0.04616962,0.05706637,0.27122324159021405,0.2599111701743863,0.29789874294623775,0.049743025521041304,0.0534929650077669
73,Panama,0.02838709677419355,0.05402087170042971,176,3258.0,6200,0.0242532,0.03252099,0.04625851,0.06178324,0.2591590909090909,0.2594117524183507,0.2751555373761115,0.051349579565279385,0.05669216383558004
74,Peru,0.027380570695735813,0.07822661903453329,854,10917.0,31190,0.02556951,0.02919163,0.07318946,0.08326378,0.1789672131147541,0.16395803788964106,0.20417040969913897,0.07649316208429444,0.07996007598477214
75,Philippines,0.06659964815280221,0.1163556531284303,530,4555.0,7958,0.06112172,0.07207757,0.10704379,0.12566751,0.12032075471698113,0.11210364981512656,0.13527760435266145,0.11315112816182542,0.11956017809503518
76,Poland,0.04878048780487805,0.09031671465373542,596,6599.0,12218,0.04496094,0.05260003,0.08340098,0.09723245,0.15501006711409396,0.1438831980297777,0.1748387545499644,0.08793677764012238,0.09269665166734846
77,Portugal,0.038977057807746074,0.06315368729598295,948,15011.0,24322,0.03654474,0.04140937,0.05926255,0.06704483,0.2216814345991561,0.20248876337703967,0.2535616958108447,0.06181461484910915,0.06449275974285675
78,Puerto_Rico,0.06142857142857143,0.10656753407682776,86,807.0,1400,0.04885082,0.07400632,0.08527856,0.1278565,0.13137209302325578,0.14071531467313567,0.13296155829257336,0.0992412811101571,0.11389378704349841
79,Romania,0.0559573002754821,0.10391686650679456,650,6255.0,11616,0.05177761,0.06013699,0.09635461,0.11147913,0.13472307692307692,0.12453997207961105,0.1524949156642869,0.10131443762506717,0.10651929538852195
80,Russia,0.009266978772526134,0.028842315369261476,867,30060.0,93558,0.008653,0.00988096,0.02695035,0.03073428,0.4853979238754325,0.44526325969960706,0.5531282572115273,0.028191225703246305,0.029493405035276647
81,San_Marino,0.07414104882459313,0.11614730878186968,41,353.0,553,0.05230433,0.09597776,0.08272355,0.14957107,0.12053658536585365,0.1450614687655698,0.11365834676298169,0.10464506622575001,0.12764955133798936
82,Saudi_Arabia,0.007570852218957015,0.021742240022886567,152,6991.0,20077,0.00637185,0.00876986,0.01832357,0.02516091,0.6439078947368422,0.6548942295077651,0.6756512266029585,0.020565760162746877,0.022918719883026257
